研报名称,机构名称,发布时间,行业,网页链接,PDF直链
2026汽车材料碳中和路径与机遇,上海交大,2026-07-05 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/m154nP6C416h3qLjjZKfIAZW/7UoNyFaN5aiT2HY6w=,https://pdf.dfcfw.com/pdf/H3_AP202607041826721783_1.pdf
新材料周报：三星和海力士发布大规模投资计划，关注半导体材料发展机遇,山西证券,2026-06-30 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=pbgGimF6GIUsJi/NFvqdc5z+5aJGh8gp6Z2FEpGkQJ4=,https://pdf.dfcfw.com/pdf/H3_AP202606301826593668_1.pdf
新材料行业研究：电子级PPO发展向好，国内企业加速布局,国金证券,2026-06-28 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i1qd5oYW3dtIdO0LK5Zgjio=,https://pdf.dfcfw.com/pdf/H3_AP202606281826515853_1.pdf
非金属建材周观点：看好电子布和铜箔6月价格趋势，关注主流终端推进玻璃基板,国金证券,2026-05-31 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=frN1yznI/PSjLneQCR7qmkEHIoePoYZJNOhZSMoXcAo=,https://pdf.dfcfw.com/pdf/H3_AP202605311823107350_1.pdf
非金属建材周观点：关注6G芯片封装对玻璃基板的驱动,国金证券,2026-05-11 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GxboAqS/kCL8rn2DaeAC6bkVFSSdGCDEJQb0uzMTsRI=,https://pdf.dfcfw.com/pdf/H3_AP202605111822144001_1.pdf
非金属建材周观点：涨价链是主线，建材配置吸引力继续提升,国金证券,2026-02-08 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=laLmyrxo1oSiGrVFb48kwHHPjDHnle3FFdkwpYarmhg=,https://pdf.dfcfw.com/pdf/H3_AP202602081819825408_1.pdf
非金属建材周观点：看好Q布提高渗透率,国金证券,2025-12-29 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=wJmoRmmifEjydfe/kPnTR3Xfcw6GFjviLU8nln2ehC8=,https://pdf.dfcfw.com/pdf/H3_AP202512291810382197_1.pdf
非金属建材周观点：AI铜箔和AI电子布板块，如何应对高频变化,国金证券,2025-12-07 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+TYL+d7ki2rnxRIuePo1fhXy1IGPVn7OfIBtd1XvMzo=,https://pdf.dfcfw.com/pdf/H3_AP202512071795832832_1.pdf
非金属建材周观点：关注谷歌链材料端变化，继续推荐出海板块,国金证券,2025-11-30 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Z4IPzH8gCCywQFj2lVXNW41nEs8ChMCZt3IG39pIOLM=,https://pdf.dfcfw.com/pdf/H3_AP202511301791337322_1.pdf
非金属建材周观点：关注西部陆海新通道，关注内需建材4个关键点,国金证券,2025-11-16 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=NZ1UzBD/p6ri4S2mLSrUggJeyOrbiV3X3+HMailEix8=,https://pdf.dfcfw.com/pdf/H3_AP202511161782557134_1.pdf
非金属建材周观点：两主线明确：大出海+AI新材料,国金证券,2025-09-14 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=5TkTFel9JDlQMrgZgUQdwApJ2PK61jdvJrRerQyQPGA=,https://pdf.dfcfw.com/pdf/H3_AP202509141743621572_1.pdf
非金属建材周观点：重视四川路桥的西南基建龙头定位,国金证券,2025-08-04 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=OAmez0xNfh8eJ3CrrHuc2mYri09d7kIjKS2wULhBVfo=,https://pdf.dfcfw.com/pdf/H3_AP202508041721130624_1.pdf
非金属建材周观点：行业公司重组转型进程加快,国金证券,2025-06-02 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=6zITN151RzTF14y1E4H+qlBdkpAaP3jFRD0NocQ09UE=,https://pdf.dfcfw.com/pdf/H3_AP202506021683411267_1.pdf
非金属建材周观点：涂料，为深海科技“保驾护航”,国金证券,2025-03-23 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=4o96xi+P6mrL36j+76sat8UBV0BOwNYQKBa9A85mNbE=,https://pdf.dfcfw.com/pdf/H3_AP202503231646489787_1.pdf
非金属建材行业研究：涂料机器人应用提速,国金证券,2025-03-03 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RVfHWybq3DZRHQJOx9m/mh3x1orCwXPqQUm5iCcHGhQ=,https://pdf.dfcfw.com/pdf/H3_AP202503031643960554_1.pdf
新材料周报：生物塑料行业碳足迹评价标准公示，长鸿高科拟建15万吨生物新材料,山西证券,2025-01-21 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=oY5mp548Mc+kiL+DFouDkWDks/RXGDSL+6GFWp3K8cg=,https://pdf.dfcfw.com/pdf/H3_AP202501211642407554_1.pdf
企业竞争图谱：2024年热转印碳带 头豹词条报告系列,头豹研究院,2024-12-26 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=aKiz8E0PduOFG3eBbB+aeFL/A5x1vTHbEQ2IqxCRHdI=,https://pdf.dfcfw.com/pdf/H3_AP202412261641439467_1.pdf
中国热转印碳带行业市场规模测算逻辑模型 头豹词条报告系列,头豹研究院,2024-12-25 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XVA6ixRUUcNl51e+z4HCYVtZMI7SFZmmPbU+El0HwvM=,https://pdf.dfcfw.com/pdf/H3_AP202412251641428527_1.pdf
中国AI+材料行业市场规模测算逻辑模型 头豹词条报告系列,头豹研究院,2024-12-24 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=KxU/bvwy82dcVeDhGcvF1k4yXHqR9aI2LM7JES1Ztl0=,https://pdf.dfcfw.com/pdf/H3_AP202412241641418470_1.pdf
新材料周报：六部门发布《可再生能源指导意见》，多政策出台支持合成生物发展,山西证券,2024-11-05 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=G6wVhOcMPOQMR6XBMdnN7m8hDpSE1ANypruVfV+Xwxc=,https://pdf.dfcfw.com/pdf/H3_AP202411051640718636_1.pdf
新材料周报：海南省通过“禁塑令”修改决定，华恒成立生物基聚酯纺织产业联盟,山西证券,2024-10-15 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=5Tj1r68Ap00tWIYuDFGOnZi/GtVCu5dUTOkwhE8yEYY=,https://pdf.dfcfw.com/pdf/H3_AP202410151640307171_1.pdf
非金属材料：关注政策发力下龙头和优秀公司的估值修复,东兴证券,2024-08-21 00:00:00.000,非金属材料Ⅱ,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Z2GJ+yf3zOC87XS0lHUHeJJfPj1mxTQZmR2i1NrUH5s=,https://pdf.dfcfw.com/pdf/H3_AP202408211639369908_1.pdf
